second,mean_x,std_x,min_x,max_x,mean_y,std_y,mix_y,max_y,mean_z,std_z,min_z,max_z,Activity
80,-5.30774969,4.076749265,-13.453019,3.6703112,-7.712847549,7.432749155,-21.964407,5.5856724,-1.709313408,4.902604548,-13.00291,8.027759,3
81,-7.46981166,5.375611175,-22.072145,3.4356794,-4.673579461,5.466731551,-17.999609,4.900931,2.095073097,5.479032986,-10.163386,13.496115,3
82,-8.318824802,4.332122929,-17.662025,2.0925324,-3.040343037,8.694784758,-19.139248,15.442601,1.603919728,6.213728337,-10.359711,13.608643,3
83,-8.482168,4.688953251,-17.51119,1.1204864,-3.711354698,7.612019936,-17.657238,10.192117,1.491392207,6.009942787,-12.13142,11.058818,3
84,-8.724135835,3.892068709,-19.505562,2.5617957,-0.860954918,3.333512133,-11.018116,5.422867,2.070792914,3.702161889,-5.925649,12.600683,3
85,-8.978207533,4.064360664,-18.875887,0.90500826,-2.802339864,5.334729819,-14.032416,6.4763155,-0.362013102,6.144827163,-11.025299,10.912771,3
86,-8.26527286,6.377384706,-21.504719,4.3981485,-2.913841172,5.454962043,-16.112978,9.995792,3.021238199,5.551302517,-11.48738,12.902353,3
87,-8.421482342,7.280878029,-25.462336,0.60573304,-2.543130829,4.797857227,-11.178528,5.3606176,3.620521613,6.106374987,-8.185776,13.165715,3
88,-7.943668052,6.828496215,-20.86068,3.1244333,-2.078606832,2.654647624,-7.728483,3.7565024,4.19415273,5.14737137,-8.947132,12.337321,3
89,-7.549504301,6.73256506,-18.478449,5.8346696,-3.558223465,5.109032272,-18.23424,6.030994,3.507114589,4.829686232,-6.6534867,10.828975,3
90,-7.701365114,5.457678244,-17.791313,2.6024973,-3.132251051,9.775880298,-20.96363,10.299856,1.669344893,7.079377344,-12.105083,11.190498,3
91,-8.075886638,5.246246309,-17.286137,3.1675289,-3.205494042,8.98481885,-20.494366,8.50181,1.1414968,7.146106812,-12.059594,10.970232,3
92,-8.049648229,5.025663777,-18.995596,2.944868,-4.140747423,7.778476837,-16.742653,10.479421,1.884529902,6.353309359,-13.189657,10.457873,3
93,-8.474789961,7.02431565,-20.88941,6.8785415,-2.911544725,4.021570847,-13.81215,3.1004913,2.021292559,5.492650202,-8.157045,13.18008,3
94,-8.006114684,6.669122932,-20.254946,4.984728,-3.331052807,5.308455728,-15.102624,12.002133,2.028176092,5.49560493,-10.582372,12.641385,3
95,-8.089225739,5.840685597,-20.829556,4.7070007,-4.163272463,6.58030283,-20.810402,7.0365586,2.144667221,5.902886193,-10.96305,11.233594,3
96,-7.071299175,5.573931574,-22.139183,2.420538,-1.716789185,5.085593707,-14.602236,6.517017,4.775797176,4.531309299,-8.456321,12.818556,3
97,-6.812236797,3.806525702,-16.266207,1.4269443,-0.810803758,2.999474656,-6.279991,6.6415157,6.615863357,2.420492656,1.8171991,11.702858,3
98,-7.546474945,2.968804431,-14.822503,-1.3718776,0.159385433,2.136792621,-5.243302,3.8043866,5.901169649,2.135507658,1.30484,10.21127,3
99,-7.7101113,5.361126811,-24.049757,1.0893618,-1.843388705,3.413497111,-10.69011,4.781221,5.460783195,3.498621508,-5.595249,11.580753,3
100,-7.354498967,4.790037051,-17.056293,5.657499,-3.753130997,7.036725662,-18.224663,9.995792,2.38990188,6.534126158,-11.365275,13.582306,3
101,-8.506500946,5.927060526,-22.97476,2.8778305,-3.365270342,5.530178355,-16.098612,7.493851,0.958902213,4.83371514,-9.062054,9.548077,3
102,-7.592697624,5.062349733,-16.82645,3.1651347,-5.30916669,5.622897703,-16.299725,7.192182,2.322180184,5.508621996,-9.205706,10.472239,3
103,-6.416265032,4.95551276,-18.892645,2.8562827,-1.053986212,3.457804121,-8.09719,5.0397944,5.918906272,3.651161568,-0.10295067,14.097059,3
104,-7.595796393,7.322407112,-21.303606,4.175488,-4.834611428,7.070815007,-20.719421,8.983045,0.863492816,5.418774744,-10.747571,10.730812,3
105,-7.991503239,7.620597728,-24.112005,9.428367,-5.127793706,4.212012609,-13.069947,4.546589,2.213952592,4.01843474,-8.968679,9.244013,3
106,-7.564651232,5.158843734,-19.560627,1.7142484,-4.438263645,5.7591844,-16.618155,7.03177,1.1312847,4.973905936,-11.200075,10.788273,3
107,-2.07117993,4.558590743,-12.955026,5.2720323,-8.474692212,3.874804363,-15.342045,4.000711,-1.793257045,3.325570734,-8.755595,10.216059,3
108,4.042243106,0.358523404,3.4332852,4.939238,-8.687434235,0.305672667,-9.662998,-8.169016,-2.677645871,0.311788789,-3.478775,-1.8818425,3
109,3.568386622,0.222009107,3.0765493,4.2521024,-8.968386449,0.302681556,-10.228029,-8.3868885,-2.262080853,0.341938397,-3.0454245,-1.6184803,3
110,3.638111629,0.136464849,3.3423057,3.9624038,-8.915713878,0.174857814,-9.423578,-8.659827,-2.358875027,0.111576398,-2.5474305,-2.0805612,3
111,3.761339724,0.213968195,3.2202013,4.1659107,-8.808903316,0.206984103,-9.397242,-8.157045,-2.660837578,0.204189599,-3.2680852,-2.3199813,3
112,3.429560889,0.178899256,3.2321723,3.86903,-8.9205295,0.311641615,-9.40203,-8.465898,-2.660224111,0.297070653,-2.96881,-2.135628,3
112,3.216456497,0.19728704,2.8921957,3.6391866,-8.979054372,0.363010499,-10.237606,-7.836222,-2.634911069,0.32258056,-3.4979286,-1.8363527,1
113,2.625120043,0.274464457,2.1260512,3.2106245,-9.162170122,0.220995426,-9.859323,-8.7053175,-2.402899014,0.194434074,-2.767697,-1.9488802,1
114,3.069510212,0.40215415,2.2481554,4.1371803,-9.164094306,0.479192317,-10.441113,-7.9463553,-2.105556748,0.367292751,-3.229778,-1.4197617,1
115,3.313526285,1.277950592,0.7661445,5.533,-8.918889955,0.769080354,-10.551247,-7.120356,-2.574108843,0.79303582,-4.4364557,-0.6392518,1
116,3.345383829,1.099047961,1.5179238,6.799533,-9.089464578,1.066164064,-11.44189,-7.5082164,-2.439544925,1.011522003,-4.4915223,0.24181437,1
117,2.409935018,0.994906652,1.1109096,5.7125654,-9.309633451,1.003511878,-11.142614,-6.9527617,-1.439257242,0.775939226,-3.2609026,0.4165911,1
118,3.39087368,1.045372443,2.1452048,5.98311,-9.3525825,0.594440061,-12.08593,-8.080431,-0.643014166,0.354551425,-1.5179238,0.021547815,1
119,2.648524555,0.54393211,1.4197617,4.146757,-9.528434173,1.022056324,-13.632585,-7.4507556,-0.992958519,0.788091816,-2.72939,0.5291186,1
120,2.250549612,0.782313442,-0.11492168,3.4284968,-9.638274337,1.195398806,-12.29662,-7.204153,0.841342023,1.298151055,-1.6112977,3.7684734,1
121,1.121903346,1.804918794,-2.6503813,5.0613422,-9.456070588,1.984566474,-13.474567,-4.819528,2.281576497,0.771708719,0.49320555,3.6224272,1
122,2.204717746,1.44257051,-2.0614076,5.7005944,-8.359233065,0.976428482,-10.0508585,-6.4140663,4.790211271,1.33161094,1.1228806,6.9623384,1
123,2.946431647,1.007522092,0.9840169,4.8865657,-8.804456855,1.008631259,-10.560823,-5.765238,3.893362835,1.317332763,1.2018893,6.8929067,1
124,4.05333564,0.485525837,3.145981,4.9583917,-8.79122132,0.445204464,-9.964667,-7.359776,2.463633526,0.690444086,1.1899183,3.5793316,1
125,2.483031475,1.15540313,0.581791,4.1683054,-8.986904816,0.452178513,-10.603919,-7.771579,3.177691978,0.721622369,1.0414777,4.2425256,1
126,0.571041536,0.418719026,0.08379706,1.4939818,-8.907309816,0.196345782,-9.346964,-8.439561,4.156089898,0.116774992,3.8594532,4.390966,1
127,3.23065758,0.688081842,1.4532804,4.4340615,-8.892944643,0.252895064,-9.667787,-8.475474,3.263394602,0.393773633,2.6910827,4.225766,1
128,4.223029764,0.326221828,3.8355112,4.8482585,-8.925241607,0.259968034,-9.289502,-8.559271,2.669021793,0.102004506,2.5210943,2.873042,1
128,2.906349612,0.721609127,1.8004397,3.928885,-8.910232941,0.22757515,-9.313444,-8.475474,3.284703879,0.271883733,2.6623523,3.7732618,0
129,1.430413358,0.237503995,0.91937345,2.0829554,-9.038893163,0.194192479,-9.531317,-8.506598,3.730752582,0.115628532,3.5170822,4.0821137,0
130,3.062086251,0.373196525,2.0446482,3.775656,-8.875843092,0.272703259,-9.457097,-8.180987,3.430255851,0.290936771,2.8778305,3.928885,0
131,3.887499496,0.372102533,3.0597897,4.3526587,-8.92910201,0.258763763,-9.519346,-8.355764,2.671538198,0.224276181,2.2146366,3.1651347,0
132,1.480105269,0.959463686,-0.004788403,3.383007,-8.558587053,0.72404115,-9.959879,-6.5696893,4.771790543,1.115270354,3.122039,7.0605006,0
133,-0.607003427,0.877908766,-2.8060043,0.9983821,-9.129677382,2.260469349,-16.172832,-5.657499,2.655707171,2.184641655,-0.06703765,6.7085533,0
134,-2.201767738,0.793628491,-4.2544966,2.4349031,-5.0084829,2.285107874,-11.176133,-2.56419,7.35891562,2.279201951,0.7445967,9.375694,0
135,-1.900948263,0.786955194,-5.427655,0.25617957,-3.42715606,0.839433699,-5.073313,-0.81163436,9.053577906,0.437109953,6.9886746,10.275913,0
136,-1.836185105,0.183704787,-2.2361844,-1.2018893,-5.591011645,1.18230433,-8.042124,-4.0653543,7.907545417,0.680720678,6.531382,8.75799,0
